grupo_barrio,barrio,latitud,longitud,tipo_habitacion,precio,minimo_noches,cantidad_resenas,resenas_por_mes,cantidad_alojamientos_anfitrion,disponibilidad_anual
10.0,47.0,40.43707,-3.64773,4,99.0,2,120,1.65,1,281
17.0,80.0,40.41636,-3.70608,4,97.0,1,405,5.58,1,80
5.0,44.0,40.33343505859375,-3.702780961990357,4,75.0,3,25,0.35,19,61
17.0,66.0,40.42422,-3.70261,4,112.0,3,189,2.59,181,305
10.0,41.0,40.43337,-3.63768,3,128.0,7,0,0.0,1,87
17.0,66.0,40.42397,-3.70288,4,106.0,2,394,5.42,3,254
12.0,61.0,40.4719,-3.63674,4,65.0,1,319,6.3,7,170
18.0,68.0,40.43136,-3.67311,4,83.0,2,101,3.81,22,290
18.0,82.0,40.42426,-3.69058,4,161.0,1,138,1.9,17,262
15.0,69.0,40.42554,-3.69076,4,157.0,1,129,1.77,17,314
14.0,63.0,40.44925,-3.70013,4,133.0,2,48,1.51,1,9
5.0,44.0,40.333435,-3.702781,4,76.0,3,34,0.48,19,172
8.0,10.0,40.38277,-3.67029,3,39.0,10,53,0.76,1,7
17.0,66.0,40.42275,-3.7009,4,143.0,1,371,5.16,6,15
18.0,73.0,40.42334,-3.67037,4,85.0,3,115,1.59,66,233
10.0,41.0,40.42876,-3.64261,4,101.0,1,46,0.64,4,337
4.0,40.0,40.47614,-3.57825,4,115.0,1,701,9.71,2,24
16.0,51.0,40.40436,-3.68037,4,28.0,1,348,5.04,2,211
17.0,80.0,40.41467,-3.70397,4,110.0,4,74,1.07,7,166
17.0,80.0,40.41646,-3.70467,4,148.0,2,343,4.75,141,309
17.0,77.0,40.42089,-3.69924,3,54.0,6,23,0.33,2,44
13.0,46.0,40.39284,-3.69471,4,90.0,15,89,1.23,6,52
10.0,47.0,40.43289,-3.65125,4,160.0,3,201,2.78,1,290
9.0,32.0,40.44664,-3.61175,4,86.0,1,317,4.38,2,55
10.0,47.0,40.4377,-3.64367,4,77.0,3,209,2.89,2,51
12.0,27.0,40.46129,-3.64908,4,109.0,5,81,1.13,2,16
17.0,76.0,40.40846,-3.71437,4,147.0,3,148,3.19,1,238
3.0,12.0,40.39336,-3.75111,3,61.0,1,167,2.37,1,173
15.0,66.0,40.43339,-3.71052,4,76.0,2,112,1.56,6,191
9.0,45.0,40.44731,-3.59563,3,43.0,1,44,0.61,4,11
17.0,80.0,40.41841,-3.70359,4,150.0,1,267,3.77,1,9
17.0,66.0,40.42587,-3.70645,4,92.0,30,32,0.44,12,106
17.0,61.0,40.40765,-3.70932,4,119.0,2,61,0.84,1,104
5.0,3.0,40.35311,-3.6942,3,30.0,1,5,0.07,2,257
18.0,73.0,40.42369,-3.6742,4,120.0,3,191,2.66,1,184
17.0,66.0,40.4205,-3.70165,4,135.0,2,31,0.43,18,293
17.0,61.0,40.41056,-3.69863,4,110.0,2,284,3.92,2,332
17.0,80.0,40.42019,-3.70481,4,108.0,1,107,1.49,6,55
15.0,66.0,40.43193,-3.7106,4,90.0,2,116,1.72,6,204
17.0,66.0,40.42119,-3.70702,4,133.0,1,70,1.03,6,87
17.0,66.0,40.42167,-3.70553,4,160.0,1,68,0.95,6,57
17.0,80.0,40.42012,-3.70709,4,142.0,1,104,1.45,6,79
13.0,49.0,40.39673,-3.69834,4,83.0,2,212,2.95,1,68
10.0,47.0,40.43464,-3.65341,4,103.0,1,98,1.37,22,69
10.0,47.0,40.43296,-3.65346,4,134.0,1,81,1.13,22,77
17.0,76.0,40.41383,-3.70975,3,68.0,2,173,2.4,1,5
9.0,24.0,40.43712,-3.63236,4,73.0,14,34,0.48,2,243
6.0,11.0,40.38205,-3.72594,3,26.0,3,70,0.97,1,319
13.0,59.0,40.40934,-3.71734,4,149.0,1,135,1.87,1,302
17.0,77.0,40.42576,-3.69963,3,48.0,1,1,1.0,1,336
4.0,40.0,40.47423,-3.57719,4,106.0,1,3,0.17,4,323
14.0,63.0,40.45081,-3.701,4,135.0,3,123,1.71,66,235
13.0,55.0,40.39865,-3.70346,4,60.0,28,166,2.37,2,71
15.0,66.0,40.4339,-3.71124,4,76.0,2,102,1.45,6,196
15.0,39.0,40.43202,-3.71207,4,76.0,2,108,1.5,6,212
17.0,76.0,40.41444,-3.71822,4,90.0,30,55,0.78,3,267
14.0,63.0,40.45462,-3.70149,3,73.0,5,17,0.24,2,88
17.0,66.0,40.424564361572266,-3.704803943634033,4,101.0,3,81,1.15,75,90
11.0,70.0,40.42551,-3.71341,4,111.0,2,159,2.22,1,256
2.0,1.0,40.40621,-3.64146,4,91.0,20,94,1.31,1,310
10.0,35.0,40.44005,-3.65262,4,140.0,3,182,2.55,2,237
16.0,66.0,40.44402424379001,-3.673644315548486,4,128.0,1,31,0.65,8,42
13.0,60.0,40.40658,-3.69431,3,129.0,1,58,0.83,8,343
13.0,60.0,40.40671,-3.69599,3,161.0,1,61,0.88,8,361
13.0,60.0,40.40679,-3.69559,3,56.0,1,14,0.2,8,345
13.0,60.0,40.40671,-3.69585,3,56.0,1,93,1.33,8,363
13.0,49.0,40.39717,-3.69856,4,110.0,2,40,0.56,4,210
10.0,47.0,40.43435,-3.648,4,69.0,3,247,3.46,1,13
18.0,73.0,40.4267297,-3.6720489,3,55.0,3,114,3.11,1,78
9.0,43.0,40.42649,-3.60856,3,37.0,1,95,1.34,6,265
9.0,43.0,40.4262,-3.60966,3,37.0,1,59,0.83,6,269
9.0,43.0,40.42773,-3.6103,3,37.0,1,66,0.93,6,360
9.0,43.0,40.42785,-3.61016,3,40.0,1,91,1.28,6,264
9.0,43.0,40.42634,-3.61027,3,38.0,1,77,1.08,6,341
6.0,45.0,40.39248,-3.72497,4,55.0,7,29,0.42,21,284
6.0,39.0,40.3946,-3.72516,4,60.0,7,43,0.61,21,295
6.0,39.0,40.39382,-3.72497,4,60.0,7,31,0.44,21,310
6.0,39.0,40.39469,-3.7265,4,60.0,7,28,0.4,21,282
6.0,39.0,40.39453,-3.7263,4,64.0,7,29,0.41,21,309
4.0,57.0,40.46948,-3.59388,3,50.0,5,120,1.68,2,1
17.0,61.0,40.41317,-3.70176,4,88.0,30,32,0.45,1,182
16.0,70.0,40.42004,-3.67541,4,107.0,3,245,3.44,1,256
17.0,61.0,40.41276,-3.7026,4,125.0,3,131,1.83,1,145
17.0,61.0,40.41228103637695,-3.707407951354981,4,147.0,1,194,2.72,65,343
12.0,27.0,40.46597,-3.62903,4,69.0,3,136,1.94,66,18
17.0,80.0,40.4149966,-3.70779379999999,4,162.0,1,49,0.69,33,279
17.0,80.0,40.4149966,-3.70779379999999,4,143.0,1,40,0.57,33,278
17.0,66.0,40.42231,-3.70332,4,93.0,28,34,0.48,1,113
17.0,61.0,40.41228103637695,-3.707407951354981,3,136.0,1,204,2.87,65,330
17.0,61.0,40.41228103637695,-3.707407951354981,4,143.0,1,161,2.27,65,1
9.0,24.0,40.43252993634271,-3.624231331050396,3,29.0,5,47,1.72,2,312
17.0,61.0,40.41228103637695,-3.707407951354981,3,132.0,1,187,2.63,65,330
17.0,80.0,40.41558456420898,-3.70878005027771,4,164.0,1,185,2.71,13,290
3.0,11.0,40.40416,-3.74146,3,38.0,2,58,0.81,1,129
15.0,64.0,40.43225,-3.70191,3,40.0,3,60,0.84,1,51
3.0,12.0,40.38935,-3.75709,4,161.0,29,53,0.77,1,329
6.0,32.0,40.38337,-3.70133,3,27.0,3,134,1.9,2,167
15.0,39.0,40.433570861816406,-3.717422008514404,3,49.0,4,62,0.88,1,61
17.0,79.0,40.4129,-3.69571,4,142.0,1,216,3.03,6,349
17.0,79.0,40.414,-3.69727,4,122.0,1,213,2.99,6,334
6.0,32.0,40.38349,-3.69947,3,27.0,3,30,0.44,2,69
10.0,47.0,40.43286,-3.65186,4,67.0,6,142,2.27,3,20
15.0,69.0,40.42996,-3.69248,4,140.0,1,154,2.18,17,295
17.0,61.0,40.410099029541016,-3.6997499465942383,4,155.0,1,165,2.33,1,306
6.0,32.0,40.38602,-3.70407,3,38.0,1,108,1.52,12,257
8.0,41.0,40.39814,-3.6643,4,70.0,2,143,2.03,1,11
17.0,61.0,40.41249,-3.70613,4,129.0,3,244,3.46,3,188
17.0,61.0,40.41086,-3.70861,4,143.0,3,228,3.22,1,3
17.0,77.0,40.42018,-3.69766,4,138.0,1,238,3.35,141,261
17.0,76.0,40.41188,-3.7085,4,113.0,1,26,0.37,5,26
17.0,66.0,40.42448,-3.70586,4,143.0,4,205,2.9,4,75
17.0,77.0,40.42516,-3.69174,4,143.0,1,144,2.03,17,299
10.0,47.0,40.43521,-3.6468,3,23.0,28,23,0.33,3,94
15.0,67.0,40.44252,-3.69821,4,134.0,1,32,0.45,1,73
17.0,79.0,40.41451,-3.6974,4,126.0,1,154,2.2,2,72
18.0,63.0,40.43491,-3.66509,4,115.0,1,56,0.83,1,158
16.0,66.0,40.44051,-3.67521,3,82.0,1,56,0.8,4,329
16.0,66.0,40.44053,-3.67536,3,85.0,1,57,0.81,5,326
17.0,76.0,40.41465,-3.70869,4,137.0,3,240,3.43,1,244
17.0,61.0,40.41225,-3.70598,4,143.0,3,305,4.37,3,129
16.0,66.0,40.44008,-3.67561,3,90.0,1,77,1.1,4,335
12.0,27.0,40.46559,-3.64897,4,116.0,3,225,3.18,25,67
8.0,48.0,40.39531326293945,-3.668832063674927,4,143.0,1,40,0.57,36,360
8.0,48.0,40.39531326293945,-3.668832063674927,4,149.0,1,25,0.36,36,323
17.0,80.0,40.41732,-3.70663,4,135.0,8,136,1.94,8,182
17.0,66.0,40.42672,-3.70252,4,85.0,5,138,1.95,1,241
17.0,80.0,40.41646194458008,-3.7046730518341056,4,93.0,3,27,0.38,7,336
6.0,17.0,40.38395,-3.73298,3,27.0,3,52,0.74,1,69
9.0,45.0,40.44545,-3.57239,3,40.0,1,8,0.11,3,41
6.0,45.0,40.38685,-3.72656,4,81.0,2,268,3.8,2,93
3.0,18.0,40.36769,-3.76395,3,52.0,4,0,0.0,1,364
9.0,45.0,40.44744,-3.57105,3,40.0,1,36,0.51,3,40
17.0,79.0,40.41591,-3.70115,3,153.0,2,18,0.26,5,10
9.0,45.0,40.44458,-3.5815,4,60.0,3,78,1.11,1,19
14.0,65.0,40.45968,-3.69819,4,148.0,2,9,0.16,18,254
14.0,65.0,40.45758,-3.69893,4,127.0,2,38,0.89,18,51
17.0,76.0,40.42155,-3.70863,4,94.0,1,515,7.4,21,183
10.0,41.0,40.42591,-3.63147,3,38.0,1,1,0.67,1,354
17.0,79.0,40.41409,-3.70105,4,127.0,3,180,2.57,25,285
17.0,66.0,40.42442,-3.70481,4,76.0,30,27,0.39,12,115
15.0,67.0,40.44282,-3.69998,3,102.0,1,0,0.0,1,89
3.0,5.0,40.39847,-3.76851,3,25.0,1,133,1.97,2,285
17.0,77.0,40.42039,-3.70127,3,46.0,2,180,2.58,1,108
6.0,17.0,40.37832,-3.74457,3,39.0,1,34,0.5,11,18
17.0,80.0,40.41882,-3.70521,4,100.0,3,203,2.89,12,22
16.0,65.0,40.46921,-3.68627,4,45.0,2,97,1.38,2,52
17.0,79.0,40.41268157958984,-3.6956748962402335,4,112.0,3,212,3.05,1,237
10.0,44.0,40.53553,-3.70305,4,47.0,1,212,3.12,1,75
13.0,60.0,40.40277,-3.69228,3,23.0,1,18,0.34,1,12
17.0,66.0,40.42335,-3.70385,4,146.0,2,213,3.08,1,74
13.0,59.0,40.4101,-3.72162,4,111.0,4,57,0.82,1,5
17.0,61.0,40.41117,-3.70724,4,124.0,1,171,2.51,2,311
9.0,32.0,40.43579904647209,-3.6106820071736903,4,75.0,2,121,1.73,1,247
17.0,61.0,40.4101,-3.708,4,57.0,15,110,1.58,2,24
17.0,66.0,40.42519,-3.70851,4,99.0,2,47,4.18,2,18
17.0,66.0,40.42279,-3.70803,4,133.0,3,179,2.57,93,73
17.0,66.0,40.42492,-3.70975,4,22.0,2,105,1.51,141,207
17.0,76.0,40.42151,-3.7126,4,162.0,1,56,0.8,73,310
13.0,49.0,40.39814,-3.69978,3,48.0,2,124,1.8,1,295
17.0,66.0,40.42633,-3.70454,4,116.0,3,122,1.78,1,32
17.0,77.0,40.4212,-3.69903,4,121.0,2,239,3.43,141,249
6.0,17.0,40.37553,-3.73742,3,54.0,1,0,0.0,2,364
6.0,39.0,40.3932,-3.72694,4,55.0,7,25,0.36,21,273
16.0,51.0,40.40448,-3.67738,4,134.0,1,47,0.69,1,318
3.0,5.0,40.39443,-3.77361,3,42.0,5,51,0.74,2,206
16.0,66.0,40.44185,-3.66914,3,55.0,1,0,0.0,2,270
17.0,66.0,40.42396,-3.70439,3,82.0,5,120,1.77,3,227
17.0,66.0,40.42103,-3.70356,1,22.0,1,36,0.52,20,110
17.0,66.0,40.42102,-3.70323,3,70.0,1,35,0.5,20,114
17.0,77.0,40.42357,-3.69769,4,130.0,3,124,1.79,7,100
16.0,30.0,40.41111,-3.66305,3,55.0,5,71,1.02,2,69
15.0,39.0,40.43735122680664,-3.71134090423584,3,59.0,1,121,1.74,92,326
17.0,79.0,40.41599,-3.7008,4,117.0,3,198,2.89,66,208
17.0,80.0,40.41634,-3.70713,4,113.0,1,93,1.34,2,276
15.0,39.0,40.43735122680664,-3.71134090423584,3,58.0,1,109,1.57,92,334
15.0,39.0,40.43735122680664,-3.71134090423584,3,59.0,1,182,2.62,92,337
15.0,39.0,40.43735122680664,-3.71134090423584,3,58.0,1,47,0.68,92,348
15.0,39.0,40.43735122680664,-3.71134090423584,3,58.0,1,69,0.99,92,336
17.0,77.0,40.42544,-3.69974,4,124.0,2,32,0.46,18,345
15.0,39.0,40.43735122680664,-3.71134090423584,3,59.0,1,104,1.5,92,334
15.0,39.0,40.43735122680664,-3.71134090423584,3,46.0,1,101,1.45,92,340
15.0,39.0,40.43735122680664,-3.71134090423584,3,63.0,1,83,1.2,92,333
15.0,39.0,40.43735122680664,-3.71134090423584,4,59.0,1,133,1.91,92,347
10.0,47.0,40.4394,-3.64349,3,39.0,2,180,2.62,1,82
15.0,39.0,40.43735122680664,-3.71134090423584,3,58.0,1,108,1.55,92,343
15.0,39.0,40.43735122680664,-3.71134090423584,3,63.0,1,89,1.28,92,348
15.0,39.0,40.43735122680664,-3.71134090423584,3,58.0,1,88,1.27,92,347
15.0,39.0,40.43735122680664,-3.71134090423584,3,59.0,1,96,1.39,92,345
15.0,39.0,40.43735122680664,-3.71134090423584,3,58.0,1,66,0.95,92,352
15.0,39.0,40.43735122680664,-3.71134090423584,3,58.0,1,84,1.21,92,347
14.0,52.0,40.45168,-3.70563,4,73.0,2,132,2.16,1,193
15.0,39.0,40.43581,-3.71166,3,91.0,1,54,0.8,1,318
15.0,39.0,40.43735122680664,-3.71134090423584,3,64.0,1,54,0.78,92,348
17.0,66.0,40.42088,-3.70448,4,96.0,3,211,3.04,2,10
15.0,39.0,40.43735122680664,-3.71134090423584,3,58.0,1,58,0.84,92,346
14.0,65.0,40.46235,-3.69744,4,75.0,3,195,2.82,2,61
15.0,39.0,40.43735122680664,-3.71134090423584,3,55.0,1,72,1.04,92,349
9.0,45.0,40.4491,-3.57707,4,87.0,2,278,4.03,1,280
9.0,32.0,40.434,-3.61289,3,40.0,1,80,1.17,1,304
13.0,49.0,40.3956,-3.69666,3,50.0,1,38,0.55,1,287
17.0,66.0,40.42392,-3.70747,4,55.0,30,92,1.34,1,118
18.0,60.0,40.42447,-3.66846,4,159.0,1,139,2.02,43,281
9.0,31.0,40.44299,-3.63395,3,56.0,1,57,0.83,1,131
17.0,66.0,40.42631,-3.70379,3,115.0,1,265,4.33,5,342
17.0,66.0,40.42648,-3.70434,3,122.0,1,238,3.84,5,356
17.0,66.0,40.42422,-3.70276,3,152.0,1,262,3.9,5,342
17.0,66.0,40.42473,-3.70229,3,70.0,1,249,3.64,5,353
17.0,76.0,40.41269,-3.71508,4,138.0,2,130,1.92,13,17
17.0,79.0,40.41112,-3.695,4,101.0,3,100,1.47,1,238
10.0,53.0,40.4754,-3.70786,4,70.0,6,62,0.9,8,44
17.0,66.0,40.42602441073068,-3.702827508343997,3,41.0,1,173,3.28,1,2
8.0,48.0,40.393593,-3.667731,4,77.0,2,83,1.21,8,159
3.0,29.0,40.41154,-3.73265,3,16.0,15,16,0.32,2,73
17.0,61.0,40.410137132774814,-3.701675183443565,4,105.0,4,43,0.62,2,317
6.0,22.0,40.37369,-3.7516,3,40.0,7,32,0.67,2,161
17.0,61.0,40.40818,-3.70461,4,114.0,1,144,2.13,292,322
17.0,66.0,40.424991607666016,-3.702310085296631,4,162.0,3,8,0.15,75,119
18.0,73.0,40.42827,-3.67919,3,155.0,2,49,0.94,1,357
6.0,42.0,40.39282,-3.71209,3,38.0,2,90,1.31,1,229
10.0,53.0,40.47763,-3.70677,4,152.0,1,31,0.46,3,75
17.0,66.0,40.42832,-3.70524,4,120.0,1,65,0.95,2,317
13.0,59.0,40.41258,-3.71866,4,104.0,15,66,0.97,14,104
17.0,77.0,40.42097,-3.69902,3,120.0,2,216,4.42,4,114
18.0,82.0,40.42853,-3.68604,4,108.0,2,52,0.77,2,272
17.0,76.0,40.41227,-3.70833,4,104.0,2,406,6.31,27,24
17.0,61.0,40.413976933909744,-3.705838976587214,4,71.0,28,25,2.42,3,315
14.0,63.0,40.45244,-3.70134,4,105.0,2,174,2.55,16,49
12.0,54.0,40.48469,-3.66706,4,54.0,30,22,0.35,1,285
8.0,41.0,40.39778,-3.65294,3,36.0,2,97,1.42,1,300
9.0,45.0,40.4485473,-3.5761681,4,122.0,2,9,0.24,1,239
17.0,66.0,40.42072,-3.70555,3,115.0,1,194,2.84,1,9
18.0,82.0,40.42843,-3.68621,4,99.0,1,168,2.49,5,8
17.0,76.0,40.41847,-3.70958,4,105.0,3,64,1.38,2,215
17.0,77.0,40.42207,-3.70019,4,58.0,30,21,0.31,13,178
17.0,61.0,40.40852355957031,-3.7054638862609854,4,143.0,21,2,0.03,1,21
15.0,39.0,40.43735122680664,-3.71134090423584,3,78.0,1,162,2.36,92,352
17.0,80.0,40.41893,-3.70729,4,125.0,3,77,1.12,3,150
15.0,39.0,40.43735122680664,-3.71134090423584,3,38.0,1,140,2.05,92,348
12.0,54.0,40.48766,-3.66551,4,87.0,1,14,0.21,11,156
8.0,10.0,40.379888690024565,-3.667836338281632,3,36.0,5,44,1.19,2,343
8.0,37.0,40.39138,-3.66087,3,34.0,3,225,4.78,1,72
11.0,9.0,40.4659,-3.79099,3,50.0,2,15,0.22,2,291
11.0,47.0,40.4552,-3.77666,3,30.0,3,146,2.13,3,128
9.0,45.0,40.44586,-3.57696,4,84.0,4,99,1.45,1,64
17.0,61.0,40.40852,-3.69275,3,70.0,1,278,4.08,6,182
17.0,66.0,40.4242392168558,-3.700775916407904,4,99.0,5,70,1.61,15,137
16.0,66.0,40.43861,-3.67795,3,61.0,3,19,0.47,1,131
12.0,54.0,40.48787,-3.66657,4,76.0,1,68,1.0,11,151
17.0,66.0,40.4219,-3.70115,4,129.0,2,22,0.36,18,320
12.0,54.0,40.48612,-3.66614,4,79.0,1,46,0.68,11,174
10.0,47.0,40.43893,-3.64568,3,19.0,30,19,0.31,6,229
17.0,61.0,40.40879,-3.7034,4,143.0,20,23,0.34,1,6
13.0,46.0,40.39966,-3.69738,4,89.0,3,155,2.29,66,211
2.0,49.0,40.41025,-3.65033,4,86.0,4,129,1.91,1,261
17.0,66.0,40.42264,-3.70929,4,104.0,28,20,0.29,1,143
17.0,61.0,40.407,-3.70122,4,93.0,3,145,2.51,66,183
6.0,17.0,40.37851,-3.74441,3,55.0,2,4,0.22,11,257
4.0,15.0,40.45179,-3.58533,3,33.0,2,21,0.31,2,66
17.0,76.0,40.41627,-3.70974,4,135.0,20,20,0.52,2,242
17.0,77.0,40.42021,-3.7,4,146.0,1,46,0.68,23,91
15.0,66.0,40.4346549,-3.7046292,4,114.0,1,269,4.25,3,119
13.0,60.0,40.40537,-3.69168,3,64.0,3,7,0.45,5,41
12.0,27.0,40.46339,-3.63191,3,35.0,1,115,1.7,1,178
17.0,77.0,40.42596,-3.6928,4,163.0,2,166,2.45,2,43
17.0,77.0,40.42018,-3.69766,4,135.0,1,222,3.35,141,264
17.0,76.0,40.41913,-3.70854,4,105.0,3,254,3.74,2,88
7.0,21.0,40.38459,-3.60623,4,110.0,3,107,1.65,1,247
11.0,46.0,40.46453,-3.75039,4,100.0,1,0,0.0,5,4
11.0,46.0,40.46465,-3.7482,3,100.0,1,0,0.0,5,3
6.0,32.0,40.38517,-3.70396,4,93.0,3,30,0.44,3,15
17.0,61.0,40.407349,-3.705984,4,45.0,20,106,1.57,1,35
17.0,80.0,40.41687,-3.7057,3,88.0,2,106,2.23,7,265
17.0,80.0,40.41687,-3.7057,3,67.0,2,159,2.36,7,260
17.0,80.0,40.416873931884766,-3.705694913864136,3,67.0,2,112,2.33,7,252
6.0,32.0,40.38495,-3.70332,4,62.0,2,34,1.55,3,35
15.0,64.0,40.43448,-3.70358,4,112.0,1,80,1.19,1,296
10.0,61.0,40.44275,-3.64035,4,145.0,1,9,0.13,72,112
17.0,61.0,40.41027,-3.70905,4,55.0,28,16,0.35,2,268
18.0,73.0,40.42766,-3.67337,3,38.0,3,202,3.01,3,219
10.0,53.0,40.47754,-3.7116,3,50.0,1,0,0.0,1,89
17.0,76.0,40.41023,-3.70993,4,58.0,3,149,3.4,3,189
14.0,63.0,40.45277,-3.70131,3,50.0,2,159,2.35,1,2
16.0,65.0,40.4719,-3.68566,4,110.0,1,21,0.32,54,356
18.0,83.0,40.42969,-3.68397,4,126.0,1,80,1.53,5,8
3.0,12.0,40.39075,-3.7558,3,38.0,1,19,0.28,2,236
6.0,32.0,40.38529,-3.69897,4,135.0,3,91,1.46,66,218
12.0,54.0,40.502710218604285,-3.6512264097288,4,61.0,6,49,0.73,1,194
17.0,76.0,40.41079,-3.71303,4,150.0,4,109,2.67,62,198
17.0,79.0,40.41446,-3.70367,4,157.0,30,93,1.86,62,365
8.0,41.0,40.39993667602539,-3.663764953613281,4,150.0,1,45,0.7,36,324
8.0,41.0,40.39993667602539,-3.663764953613281,4,159.0,1,34,0.53,36,354
8.0,41.0,40.39993667602539,-3.663764953613281,4,143.0,1,87,1.35,36,356
17.0,66.0,40.42228,-3.70098,4,152.0,1,61,1.25,8,161
17.0,80.0,40.41501,-3.70528,4,150.0,1,215,3.19,14,118
10.0,61.0,40.4333861,-3.6558211,3,44.0,2,28,1.84,1,6
17.0,61.0,40.4074821472168,-3.7041640281677246,3,45.0,1,213,3.48,1,226
14.0,50.0,40.46143,-3.70529,3,43.0,28,0,0.0,1,267
6.0,17.0,40.386,-3.72935,3,39.0,1,0,0.0,1,179
17.0,61.0,40.4121,-3.70715,4,131.0,1,125,2.13,26,148
13.0,55.0,40.39962,-3.70265,4,99.0,3,111,2.07,1,273
16.0,66.0,40.4419,-3.6726,4,150.0,3,149,2.37,1,243
15.0,67.0,40.44074,-3.69183,4,130.0,1,10,0.16,20,218
17.0,76.0,40.41146,-3.7085,4,124.0,3,168,3.56,66,216
17.0,61.0,40.40933,-3.70886,4,135.0,1,175,2.8,1,322
17.0,80.0,40.41455,-3.70493,4,102.0,5,126,2.77,15,226
17.0,61.0,40.4104,-3.69791,4,73.0,3,0,0.0,1,40
17.0,77.0,40.42833,-3.7017,4,119.0,4,31,0.61,1,235
12.0,54.0,40.46123,-3.62477,3,85.0,1,31,0.59,1,80
3.0,29.0,40.41266,-3.7294,4,114.0,2,252,4.62,5,168
3.0,29.0,40.40704,-3.73784,4,127.0,10,96,1.52,14,241
17.0,66.0,40.420708,-3.702295,3,70.0,1,94,1.73,31,142
17.0,61.0,40.40803250547744,-3.704009979044124,4,83.0,4,69,1.11,1,302
17.0,77.0,40.42505,-3.69217,4,115.0,1,35,0.7,10,3
10.0,47.0,40.43484,-3.64511,3,37.0,2,82,4.21,2,54
6.0,17.0,40.38264,-3.73038,3,35.0,1,0,0.0,1,89
18.0,68.0,40.42893,-3.67133,3,38.0,3,193,3.15,3,232
8.0,37.0,40.39228,-3.66344,4,156.0,1,17,0.28,36,342
17.0,61.0,40.40982,-3.69839,4,121.0,3,212,3.36,1,223
13.0,46.0,40.39739,-3.69554,4,116.0,2,71,1.99,2,290
17.0,66.0,40.42046,-3.70357,3,141.0,1,5,0.14,13,266
17.0,61.0,40.41228103637695,-3.707407951354981,4,158.0,1,213,3.43,1,323
16.0,66.0,40.4464,-3.66415,4,162.0,30,1,0.59,3,268
12.0,27.0,40.4585020710139,-3.647410385476261,4,154.0,20,4,0.1,1,335
17.0,66.0,40.42908,-3.70256,4,149.0,1,128,2.73,6,199
17.0,66.0,40.42715,-3.70279,4,155.0,1,122,3.61,6,195
15.0,64.0,40.42921,-3.70253,4,115.0,1,177,2.79,6,119
17.0,66.0,40.42915,-3.70412,4,124.0,2,104,1.65,6,214
17.0,66.0,40.42729,-3.70306,4,126.0,1,145,3.78,6,170
17.0,66.0,40.4274,-3.70306,4,100.0,1,197,3.11,6,6
17.0,66.0,40.42313,-3.70638,4,147.0,5,22,0.56,21,35
14.0,63.0,40.44905,-3.7008,4,88.0,30,6,0.14,10,224
17.0,61.0,40.41095,-3.69686,4,124.0,1,240,3.69,1,331
6.0,28.0,40.38739,-3.70264,3,26.0,2,0,0.0,1,349
17.0,76.0,40.41286,-3.70982,4,137.0,4,20,0.35,75,292
17.0,61.0,40.41025,-3.69717,4,135.0,2,165,6.79,1,253
15.0,64.0,40.4355,-3.69928,3,76.0,1,28,0.61,1,158
17.0,80.0,40.41492,-3.70576,3,52.0,7,41,0.67,7,42
17.0,61.0,40.41377,-3.70598,3,34.0,7,110,2.39,7,43
17.0,61.0,40.4131,-3.7055,3,44.0,7,57,0.91,7,54
17.0,61.0,40.41087,-3.70228,4,72.0,3,72,1.36,2,37
14.0,50.0,40.46334,-3.70474,4,92.0,2,61,0.99,9,84
18.0,68.0,40.42914,-3.67084,4,159.0,20,32,0.79,2,4
10.0,14.0,40.47913,-3.70048,3,30.0,5,29,0.49,2,256
10.0,14.0,40.47856,-3.6987,3,46.0,4,21,0.35,2,304
15.0,69.0,40.4374232905389,-3.6981396542746015,3,80.0,4,143,3.19,4,225
17.0,61.0,40.41124,-3.70547,4,152.0,30,19,0.34,1,275
17.0,61.0,40.41237,-3.7065,4,110.0,2,99,1.54,1,308
17.0,80.0,40.41701962269111,-3.708143803699468,4,140.0,4,98,1.74,7,165
17.0,61.0,40.40829,-3.70564,4,143.0,3,161,2.8,66,233
12.0,27.0,40.46075,-3.65472,3,100.0,1,20,0.31,8,364
17.0,79.0,40.41615,-3.69918,4,123.0,1,190,3.34,26,97
16.0,84.0,40.46262,-3.68055,4,80.0,30,30,0.49,6,165
12.0,61.0,40.47612,-3.64705,3,25.0,2,89,2.01,1,43
16.0,84.0,40.46233,-3.68265,4,98.0,30,33,0.52,6,287
16.0,59.0,40.446621878176046,-3.672380620907687,4,80.0,30,5,0.82,6,332
16.0,65.0,40.46746,-3.68563,4,121.0,30,31,0.49,6,260
16.0,65.0,40.46882,-3.68629,4,72.0,30,43,0.68,6,278
17.0,61.0,40.40954,-3.70738,4,99.0,2,366,5.96,27,14
8.0,41.0,40.39182,-3.65476,3,30.0,2,58,1.5,1,71
14.0,63.0,40.45275,-3.69547,4,139.0,3,56,0.89,75,117
12.0,27.0,40.46242,-3.65461,3,100.0,1,29,0.55,8,85
16.0,30.0,40.41074,-3.66419,3,62.0,5,98,1.57,2,85
17.0,77.0,40.42502975463867,-3.700781106948853,4,164.0,1,174,2.88,65,300
3.0,26.0,40.40471,-3.74274,4,65.0,2,262,4.91,1,105
17.0,76.0,40.42073,-3.7091,4,159.0,3,241,3.81,1,32
8.0,48.0,40.3924,-3.66753,4,90.0,1,52,0.91,8,282
